id,category,input,ground_truth,expected_tools,tool_mocks,forbidden_tools,notes
PQ-001,happy,"What tasks are due this week on board Alpha?","Lists tasks with due dates within the current week on board Alpha; each task has a title, assignee, and due date; includes board name in scope disclosure",planner_queryTasksAgent;planner_queryTasks,"[{""toolName"":""planner_queryTasks"",""args"":{""planId"":""plan-alpha"",""status"":""open"",""dueBefore"":""2026-07-19""},""output"":{""tasks"":[{""id"":""t-1"",""title"":""Fix login bug"",""assignee"":""Tuan"",""dueDate"":""2026-07-17""},{""id"":""t-2"",""title"":""Update docs"",""assignee"":""Linh"",""dueDate"":""2026-07-18""}]}}]","planner_createTask;planner_assignTask;planner_postComment",US-X01 board page Q&A
PQ-002,happy,"What should I work on today?","Lists the user's own open tasks ranked by due date proximity or priority; uses assigneeScope me; does not ask for user identity",planner_queryTasksAgent;planner_queryTasks,"[{""toolName"":""planner_queryTasks"",""args"":{""assigneeScope"":""me"",""status"":""open""},""output"":{""tasks"":[{""id"":""t-10"",""title"":""Review PR #42"",""dueDate"":""2026-07-16"",""priority"":""high""},{""id"":""t-11"",""title"":""Write unit tests"",""dueDate"":""2026-07-17"",""priority"":""medium""}]}}]",,US-U03/I01 my tasks — self-resolution
PQ-003,happy,"How many open tasks do I have?","Returns a single number count of open tasks for the current user; does not list individual tasks",planner_queryTasksAgent;planner_getOpenTaskCountForUser,"[{""toolName"":""planner_getOpenTaskCountForUser"",""args"":{""scope"":""me""},""output"":{""count"":14}}]",,US-U03 count variant
PQ-004,happy,"[Context: planner.board#board-sprint12] What's the current state of this board?","Shows board Sprint 12 columns/buckets with task counts per status; mentions board name",planner_queryTasksAgent;planner_getBoardSnapshot,"[{""toolName"":""planner_getBoardSnapshot"",""args"":{""boardId"":""board-sprint12""},""output"":{""boardName"":""Sprint 12"",""columns"":[{""name"":""To Do"",""count"":8},{""name"":""In Progress"",""count"":5},{""name"":""Done"",""count"":12}]}}]",,US-B01 board snapshot
PQ-005,happy,"What's the completion rate for Project Alpha?","States the completion percentage and the scope (Project Alpha); includes at least one numeric figure with its source",planner_queryTasksAgent;planner_getStats,"[{""toolName"":""planner_getStats"",""args"":{""planId"":""plan-alpha"",""metrics"":[""completionRate"",""overdueRatio""]},""output"":{""completionRate"":0.68,""overdueRatio"":0.12,""totalTasks"":50,""completedTasks"":34}}]",,US-X04/F01 aggregate stats
PQ-006,happy,"Show me Tuan's open tasks","Resolves Tuan to a userId first then lists Tuan's open tasks with titles and due dates",planner_queryTasksAgent;planner_resolveMember;planner_queryTasks,"[{""toolName"":""planner_resolveMember"",""args"":{""name"":""Tuan""},""output"":{""matches"":[{""userId"":""u-tuan"",""displayName"":""Tuan Nguyen""}]}},{""toolName"":""planner_queryTasks"",""args"":{""assigneeUserId"":""u-tuan"",""status"":""open""},""output"":{""tasks"":[{""id"":""t-20"",""title"":""Deploy service"",""dueDate"":""2026-07-18""}]}}]",,US-X04 named person — resolveMember branch
PQ-007,happy,"Tasks about the billing migration","Uses semantic search not structured filter; returns tasks semantically related to billing migration with similarity scores",planner_queryTasksAgent;planner_findSimilarTasks,"[{""toolName"":""planner_findSimilarTasks"",""args"":{""text"":""billing migration""},""output"":{""tasks"":[{""id"":""t-30"",""title"":""Migrate billing schema"",""score"":0.92},{""id"":""t-31"",""title"":""Update payment gateway"",""score"":0.78}]}}]",,US-X01 semantic search — topic phrasing triggers E1 not R1
PQ-008,happy,"[Context: planner.task#task-abc123] Tell me about this task","Returns task details including title assignee status dates and description; references task-abc123",planner_taskDetailAgent;planner_getTask,"[{""toolName"":""planner_getTask"",""args"":{""taskRef"":""task-abc123""},""output"":{""id"":""task-abc123"",""title"":""API Rate Limit Fix"",""status"":""in_progress"",""assignee"":""Tuan"",""dueDate"":""2026-07-20"",""description"":""Implement rate limiting on /api/v2 endpoints""}}]",,US-X02 task detail page — UUID lookup
PQ-009,happy,"Show the discussion on task 'Billing Migration'","Looks up task by title then fetches comments; shows comment authors and timestamps; mentions task title not UUID in answer",planner_taskDetailAgent;planner_queryTasks;planner_getTask;planner_listComments,"[{""toolName"":""planner_queryTasks"",""args"":{""titleContains"":""Billing Migration"",""status"":""any""},""output"":{""tasks"":[{""id"":""t-30"",""title"":""Migrate billing schema""}]}},{""toolName"":""planner_getTask"",""args"":{""taskRef"":""t-30""},""output"":{""id"":""t-30"",""title"":""Migrate billing schema"",""status"":""open""}},{""toolName"":""planner_listComments"",""args"":{""taskId"":""t-30""},""output"":{""comments"":[{""author"":""Linh"",""body"":""Schema draft ready for review"",""createdAt"":""2026-07-14T10:00:00Z""}]}}]",,US-N04 context pack — name lookup + comments
PQ-010,happy,"[Context: planner.task#task-abc123] What changed on this task recently?","Shows recent activity/changes for the task including who changed what and when; ordered newest first",planner_taskDetailAgent;planner_getTask;planner_getItemActivity,"[{""toolName"":""planner_getTask"",""args"":{""taskRef"":""task-abc123""},""output"":{""id"":""task-abc123"",""title"":""API Rate Limit Fix""}},{""toolName"":""planner_getItemActivity"",""args"":{""itemId"":""task-abc123""},""output"":{""activities"":[{""action"":""status_changed"",""from"":""not_started"",""to"":""in_progress"",""actor"":""Tuan"",""at"":""2026-07-15T09:00:00Z""}]}}]",,US-X02 task history — R3 getItemActivity
PQ-011,happy,"[Context: planner.task#task-abc123] When is this due and what depends on it?","Shows the task's due date and lists dependent tasks from the timeline; mentions dependency relationships",planner_taskDetailAgent;planner_getTask;planner_getTimeline,"[{""toolName"":""planner_getTask"",""args"":{""taskRef"":""task-abc123""},""output"":{""id"":""task-abc123"",""title"":""API Rate Limit Fix"",""dueDate"":""2026-07-20""}},{""toolName"":""planner_getTimeline"",""args"":{""scope"":""plan-alpha""},""output"":{""items"":[{""id"":""task-abc123"",""title"":""API Rate Limit Fix"",""dueDate"":""2026-07-20"",""dependents"":[{""id"":""t-50"",""title"":""Deploy to prod""}]}]}}]",,US-X03 timeline and dependencies — R5
PQ-012,happy,"How many members are in my group?","Returns member count and optionally lists members with roles; refers to group by name not ID",planner_teamInfoAgent;planner_getGroupOverview,"[{""toolName"":""planner_getGroupOverview"",""args"":{""groupId"":""grp-1""},""output"":{""groupName"":""Engineering"",""memberCount"":8,""members"":[{""name"":""Tuan"",""role"":""member""},{""name"":""Linh"",""role"":""lead""}],""plans"":[{""id"":""plan-alpha"",""name"":""Project Alpha""}]}}]",,teamInfo — group overview tool
PQ-013,happy,"Who's overloaded in the team?","Shows per-person open task counts sorted busiest first; names people by display name; mentions which group",planner_teamInfoAgent;planner_getWorkload,"[{""toolName"":""planner_getWorkload"",""args"":{""groupId"":""grp-1""},""output"":{""groupName"":""Engineering"",""workload"":[{""name"":""Tuan"",""openTasks"":12},{""name"":""Linh"",""openTasks"":8},{""name"":""Minh"",""openTasks"":3}]}}]",,teamInfo — R6 workload
PQ-014,happy,"What plans exist in my group?","Lists plan names in the user's group; does not expose plan IDs to the user",planner_teamInfoAgent;planner_listPlans,"[{""toolName"":""planner_listPlans"",""args"":{""groupId"":""grp-1""},""output"":{""plans"":[{""id"":""plan-alpha"",""name"":""Project Alpha""},{""id"":""plan-beta"",""name"":""Project Beta""}]}}]",,teamInfo — listPlans
PQ-015,happy,"What buckets are in plan 'Sprint 12'?","Lists bucket names in the plan Sprint 12",planner_teamInfoAgent;planner_listBuckets,"[{""toolName"":""planner_listBuckets"",""args"":{""planId"":""plan-sprint12""},""output"":{""buckets"":[{""name"":""To Do""},{""name"":""In Progress""},{""name"":""Review""},{""name"":""Done""}]}}]",,teamInfo — listBuckets
PQ-016,happy,"Who on my team has React experience?","Lists group members ranked by React skill match; refers to people by name",planner_teamInfoAgent;planner_searchGroupMembersBySkills,"[{""toolName"":""planner_searchGroupMembersBySkills"",""args"":{""groupId"":""grp-1"",""skills"":[""React""]},""output"":{""matches"":[{""name"":""Linh"",""score"":0.95},{""name"":""Minh"",""score"":0.7}]}}]",,US-N06 skill search — searchGroupMembersBySkills
