WBS Code,WBS ID,Level,Parent ID,Name,Issue Type,Summary,Epic Name,Epic Link,Scope,Internal Deps,External Deps,Size (points),Owner,Acceptance,MVP,Critical Path
1,P-E1,1,,Foundation,Epic,P-E1 Foundation,P-FND,,"Module scaffold, people schema, RBAC scaffolding, events/audit, org isolation",,identity,,EM,"Module scaffolds, migrates, emits events with audit, and enforces org isolation before any feature builds on it",Y,Y
1.1,PPL-1,2,P-E1,Module foundation,Task,PPL-1 Module foundation,,P-FND,"Module scaffold, people schema base, inbound-event subscriber framework, events/audit, org isolation primitive (F-SEC-2, F-SEC-3); enabling, no user value",,identity,8,Backend,"Empty people module scaffolds and migrates; person/employment_period/worker/worker_history tables exist; a tenant/session guard scopes the module's own queries so a seeded row in org A is never returned to an org-B session; the inbound-event subscriber framework is in place; domain events emit transactionally with audit recorded (per-feature query scoping is each feature slice's own acceptance)",Y,Y
1.2,PPL-2,2,P-E1,Identity link & first-login binding,Story,PPL-2 Identity link & first-login binding,,P-FND,"Identity link & first-login binding; identity user.* projection (PRD section 3; identity to people)",PPL-1,identity,3,Backend,"A pre-provisioned person with no login exists; on first SSO sign-in the auth principal links to that existing person and never auto-creates one; a sign-in for someone not pre-provisioned is rejected",Y,N
2,P-E2,1,,People directory & records,Epic,P-E2 People directory & records,P-DIR,,"F-WORK-1..11, F-DOC-1..2: employee record, pay/capacity, skills, documents, directory + projection, onboarding, import, assignment history, hire/re-hire",,"identity,hiring",,EM,"A person has one trusted, permission-aware record discoverable in the directory; HR creates and maintains people end to end",Y,Y
2.1,PPL-3,2,P-E2,Employee record & field-level edit,Story,PPL-3 Employee record & field-level edit,,P-DIR,"F-WORK-1, F-WORK-4 (edit + change history; effective-dated pay/capacity is out of scope here and lives in PPL-4)",PPL-1,,5,Fullstack,"A new record needs at least a full name; a unique work email is generated when none is supplied; personal details are editable by the person or an admin while position/grade/pay/bank/tax are admin-only; every change appears in the person's change history with who and when",Y,Y
2.2,PPL-4,2,P-E2,Effective-dated pay & capacity,Story,PPL-4 Effective-dated pay & capacity,,P-DIR,"F-WORK-4 pay history, F-WORK-8 capacity; owns the effective-dating primitive (no-overlap, future-dating)",PPL-3,,5,Fullstack,"Changing pay or capacity adds a new effective-dated record rather than overwriting; past periods still read at the old value; a change can be future-dated; overlapping effective ranges are rejected",Y,N
2.3,PPL-5,2,P-E2,Skills,Story,PPL-5 Skills,,P-DIR,"F-WORK-6 skills + position required-skills baseline",PPL-3,,5,Fullstack,"A person holds several catalog skills each at proficiency 0-5 with optional years; a skill not in the catalog cannot be added; a skill may be backed by a certification with an expiry and the person is flagged when it lapses; a position can carry a required-skills baseline",Y,N
2.4,PPL-6,2,P-E2,Document vault,Story,PPL-6 Document vault,,P-DIR,"F-DOC-1, F-DOC-2 vault + document-requirement policy + expiry",PPL-3,notifications,5,Fullstack,"Documents upload with optional expiry and replace in place keeping prior versions in history; the document-requirement policy (overall or by employment type) is configurable and a person missing a required document is flagged; documents nearing expiry remind HR and the owner",Y,N
2.5,PPL-7,2,P-E2,"Directory views, search & filter",Story,"PPL-7 Directory views, search & filter",,P-DIR,"F-WORK-5 directory, search, filter + suite search","PPL-3,PPL-5,PPL-39,PPL-43",,5,Fullstack,"The directory shows as cards or a list, searches by name/role/email/skill as the user types, and filters by lifecycle stage (and by account once allocation data is present); an empty result shows a clear no-matching-people state; results are scoped to the viewer by tier and reporting line, with allocation/account-based visibility added once PPL-40 lands; the same search backs the suite-wide search bar",Y,N
2.6,PPL-8,2,P-E2,Onboard a person,Story,PPL-8 Onboard a person,,P-DIR,"F-WORK-2 onboard a person","PPL-3,PPL-13,PPL-21",integrations,5,Fullstack,"A Strategic user adds a member via a short form; on save the person is created at the start of the journey, an employee ID is assigned, the entered manager seeds the position and reporting line, and a workspace-account request is logged as a placeholder for manual action",Y,N
